"age"	"group"	"cause"	"prop"
0	"A"	"Infection"	0.0244
0	"A"	"Neoplasms"	0.0035
0	"A"	"Diseases of the blood and blood-forming organs"	0.0016
0	"A"	"Endocrine"	0.0113
0	"A"	"Mental and behavioural disorders"	0
0	"A"	"Nervous Disorders"	0.0139
0	"A"	"circulatory"	0.022
0	"A"	"respiratory"	0.0335
0	"A"	"Digestive"	0.0169
0	"A"	"Musculoskeletal Disorders"	0.0008
0	"A"	"Genitourinary"	0.0027
0	"A"	"perinatal period"	0.3532
0	"A"	"Congenital malformations"	0.2092
0	"A"	"morbidity"	0.103
0	"S"	"Infection"	0.0217
0	"S"	"Neoplasms"	0.0066
0	"S"	"Diseases of the blood and blood-forming organs"	0.0086
0	"S"	"Endocrine"	0.0135
0	"S"	"Mental and behavioural disorders"	0
0	"S"	"Nervous Disorders"	0.0198
0	"S"	"circulatory"	0.0244
0	"S"	"respiratory"	0.0231
0	"S"	"Digestive"	0.0168
0	"S"	"Musculoskeletal Disorders"	0.0009
0	"S"	"Genitourinary"	0.005
0	"S"	"perinatal period"	0.529
0	"S"	"Congenital malformations"	0.2216
0	"S"	"morbidity"	0.0356
0	"B"	"Infection"	0.0255
0	"B"	"Neoplasms"	0.0024
0	"B"	"Diseases of the blood and blood-forming organs"	0.0028
0	"B"	"Endocrine"	0.0056
0	"B"	"Mental and behavioural disorders"	0
0	"B"	"Nervous Disorders"	0.0093
0	"B"	"circulatory"	0.0205
0	"B"	"respiratory"	0.0268
0	"B"	"Digestive"	0.0153
0	"B"	"Musculoskeletal Disorders"	0.0004
0	"B"	"Genitourinary"	0.0054
0	"B"	"perinatal period"	0.5613
0	"B"	"Congenital malformations"	0.1306
0	"B"	"morbidity"	0.0664
0	"W"	"Infection"	0.0195
0	"W"	"Neoplasms"	0.0058
0	"W"	"Diseases of the blood and blood-forming organs"	0.0037
0	"W"	"Endocrine"	0.0085
0	"W"	"Mental and behavioural disorders"	0.0001
0	"W"	"Nervous Disorders"	0.0153
0	"W"	"circulatory"	0.02
0	"W"	"respiratory"	0.0204
0	"W"	"Digestive"	0.013
0	"W"	"Musculoskeletal Disorders"	0.0006
0	"W"	"Genitourinary"	0.0051
0	"W"	"perinatal period"	0.4713
0	"W"	"Congenital malformations"	0.2362
0	"W"	"morbidity"	0.0597
1	"A"	"Infection"	0.0453
1	"A"	"Neoplasms"	0.0293
1	"A"	"Diseases of the blood and blood-forming organs"	0.0187
1	"A"	"Endocrine"	0.0187
1	"A"	"Mental and behavioural disorders"	0
1	"A"	"Nervous Disorders"	0.0613
1	"A"	"circulatory"	0.04
1	"A"	"respiratory"	0.064
1	"A"	"Digestive"	0.0187
1	"A"	"Musculoskeletal Disorders"	0.0027
1	"A"	"Genitourinary"	0.0027
1	"A"	"perinatal period"	0.0133
1	"A"	"Congenital malformations"	0.1147
1	"A"	"morbidity"	0.4667
1	"S"	"Infection"	0.0777
1	"S"	"Neoplasms"	0.0808
1	"S"	"Diseases of the blood and blood-forming organs"	0.0285
1	"S"	"Endocrine"	0.0412
1	"S"	"Mental and behavioural disorders"	0
1	"S"	"Nervous Disorders"	0.0856
1	"S"	"circulatory"	0.0475
1	"S"	"respiratory"	0.0872
1	"S"	"Digestive"	0.0254
1	"S"	"Musculoskeletal Disorders"	0.0048
1	"S"	"Genitourinary"	0.0063
1	"S"	"perinatal period"	0.0111
1	"S"	"Congenital malformations"	0.1823
1	"S"	"morbidity"	0.2552
1	"B"	"Infection"	0.0381
1	"B"	"Neoplasms"	0.0316
1	"B"	"Diseases of the blood and blood-forming organs"	0.0178
1	"B"	"Endocrine"	0.0231
1	"B"	"Mental and behavioural disorders"	0.0005
1	"B"	"Nervous Disorders"	0.0605
1	"B"	"circulatory"	0.0813
1	"B"	"respiratory"	0.0988
1	"B"	"Digestive"	0.0231
1	"B"	"Musculoskeletal Disorders"	0.0028
1	"B"	"Genitourinary"	0.0053
1	"B"	"perinatal period"	0.0261
1	"B"	"Congenital malformations"	0.1311
1	"B"	"morbidity"	0.369
1	"W"	"Infection"	0.046
1	"W"	"Neoplasms"	0.0621
1	"W"	"Diseases of the blood and blood-forming organs"	0.0138
1	"W"	"Endocrine"	0.0356
1	"W"	"Mental and behavioural disorders"	0.0007
1	"W"	"Nervous Disorders"	0.0569
1	"W"	"circulatory"	0.0484
1	"W"	"respiratory"	0.0746
1	"W"	"Digestive"	0.0245
1	"W"	"Musculoskeletal Disorders"	0.0013
1	"W"	"Genitourinary"	0.0056
1	"W"	"perinatal period"	0.0142
1	"W"	"Congenital malformations"	0.1448
1	"W"	"morbidity"	0.3841
2	"A"	"Infection"	0.0282
2	"A"	"Neoplasms"	0.0524
2	"A"	"Diseases of the blood and blood-forming organs"	0.0081
2	"A"	"Endocrine"	0.0363
2	"A"	"Mental and behavioural disorders"	0
2	"A"	"Nervous Disorders"	0.0363
2	"A"	"circulatory"	0.0484
2	"A"	"respiratory"	0.0403
2	"A"	"Digestive"	0.0403
2	"A"	"Musculoskeletal Disorders"	0
2	"A"	"Genitourinary"	0.004
2	"A"	"perinatal period"	0
2	"A"	"Congenital malformations"	0.0726
2	"A"	"morbidity"	0.5605
2	"S"	"Infection"	0.0602
2	"S"	"Neoplasms"	0.1335
2	"S"	"Diseases of the blood and blood-forming organs"	0.0183
2	"S"	"Endocrine"	0.0393
2	"S"	"Mental and behavioural disorders"	0.0026
2	"S"	"Nervous Disorders"	0.0707
2	"S"	"circulatory"	0.0864
2	"S"	"respiratory"	0.0995
2	"S"	"Digestive"	0.0366
2	"S"	"Musculoskeletal Disorders"	0.0079
2	"S"	"Genitourinary"	0.0026
2	"S"	"perinatal period"	0.0079
2	"S"	"Congenital malformations"	0.1021
2	"S"	"morbidity"	0.3037
2	"B"	"Infection"	0.036
2	"B"	"Neoplasms"	0.0597
2	"B"	"Diseases of the blood and blood-forming organs"	0.0142
2	"B"	"Endocrine"	0.0229
2	"B"	"Mental and behavioural disorders"	0.0015
2	"B"	"Nervous Disorders"	0.0578
2	"B"	"circulatory"	0.0535
2	"B"	"respiratory"	0.0782
2	"B"	"Digestive"	0.0178
2	"B"	"Musculoskeletal Disorders"	0.0007
2	"B"	"Genitourinary"	0.0029
2	"B"	"perinatal period"	0.0135
2	"B"	"Congenital malformations"	0.0851
2	"B"	"morbidity"	0.5078
2	"W"	"Infection"	0.035
2	"W"	"Neoplasms"	0.1013
2	"W"	"Diseases of the blood and blood-forming organs"	0.0136
2	"W"	"Endocrine"	0.0375
2	"W"	"Mental and behavioural disorders"	0.001
2	"W"	"Nervous Disorders"	0.0529
2	"W"	"circulatory"	0.0429
2	"W"	"respiratory"	0.0526
2	"W"	"Digestive"	0.0179
2	"W"	"Musculoskeletal Disorders"	0.0014
2	"W"	"Genitourinary"	0.004
2	"W"	"perinatal period"	0.0092
2	"W"	"Congenital malformations"	0.1054
2	"W"	"morbidity"	0.4729
3	"A"	"Infection"	0.0289
3	"A"	"Neoplasms"	0.0636
3	"A"	"Diseases of the blood and blood-forming organs"	0.0116
3	"A"	"Endocrine"	0.0347
3	"A"	"Mental and behavioural disorders"	0
3	"A"	"Nervous Disorders"	0.0405
3	"A"	"circulatory"	0.0289
3	"A"	"respiratory"	0.0636
3	"A"	"Digestive"	0.0173
3	"A"	"Musculoskeletal Disorders"	0
3	"A"	"Genitourinary"	0.0116
3	"A"	"perinatal period"	0.0116
3	"A"	"Congenital malformations"	0.0694
3	"A"	"morbidity"	0.5607
3	"S"	"Infection"	0.0521
3	"S"	"Neoplasms"	0.1564
3	"S"	"Diseases of the blood and blood-forming organs"	0.0261
3	"S"	"Endocrine"	0.0358
3	"S"	"Mental and behavioural disorders"	0.0065
3	"S"	"Nervous Disorders"	0.0684
3	"S"	"circulatory"	0.0749
3	"S"	"respiratory"	0.0717
3	"S"	"Digestive"	0.013
3	"S"	"Musculoskeletal Disorders"	0.0065
3	"S"	"Genitourinary"	0
3	"S"	"perinatal period"	0
3	"S"	"Congenital malformations"	0.1075
3	"S"	"morbidity"	0.3355
3	"B"	"Infection"	0.0326
3	"B"	"Neoplasms"	0.0894
3	"B"	"Diseases of the blood and blood-forming organs"	0.0196
3	"B"	"Endocrine"	0.0216
3	"B"	"Mental and behavioural disorders"	0.0015
3	"B"	"Nervous Disorders"	0.0547
3	"B"	"circulatory"	0.0472
3	"B"	"respiratory"	0.0748
3	"B"	"Digestive"	0.0211
3	"B"	"Musculoskeletal Disorders"	0.0005
3	"B"	"Genitourinary"	0.0045
3	"B"	"perinatal period"	0.009
3	"B"	"Congenital malformations"	0.0783
3	"B"	"morbidity"	0.5045
3	"W"	"Infection"	0.0353
3	"W"	"Neoplasms"	0.1414
3	"W"	"Diseases of the blood and blood-forming organs"	0.0142
3	"W"	"Endocrine"	0.0362
3	"W"	"Mental and behavioural disorders"	0.0019
3	"W"	"Nervous Disorders"	0.0548
3	"W"	"circulatory"	0.0436
3	"W"	"respiratory"	0.0541
3	"W"	"Digestive"	0.0181
3	"W"	"Musculoskeletal Disorders"	0.0017
3	"W"	"Genitourinary"	0.0036
3	"W"	"perinatal period"	0.0071
3	"W"	"Congenital malformations"	0.0966
3	"W"	"morbidity"	0.4621
4	"A"	"Infection"	0.0347
4	"A"	"Neoplasms"	0.1042
4	"A"	"Diseases of the blood and blood-forming organs"	0.0069
4	"A"	"Endocrine"	0.0417
4	"A"	"Mental and behavioural disorders"	0.0069
4	"A"	"Nervous Disorders"	0.0347
4	"A"	"circulatory"	0.0417
4	"A"	"respiratory"	0.0764
4	"A"	"Digestive"	0.0347
4	"A"	"Musculoskeletal Disorders"	0
4	"A"	"Genitourinary"	0
4	"A"	"perinatal period"	0
4	"A"	"Congenital malformations"	0.0625
4	"A"	"morbidity"	0.5139
4	"S"	"Infection"	0.0361
4	"S"	"Neoplasms"	0.1566
4	"S"	"Diseases of the blood and blood-forming organs"	0.0562
4	"S"	"Endocrine"	0.0361
4	"S"	"Mental and behavioural disorders"	0.008
4	"S"	"Nervous Disorders"	0.0562
4	"S"	"circulatory"	0.0602
4	"S"	"respiratory"	0.0803
4	"S"	"Digestive"	0.0321
4	"S"	"Musculoskeletal Disorders"	0.008
